"PR#","Title","Author","Draft","State","Created","Action"
46,"feat: scaffold BSM-AgentOS — core engine, security policy, dashboard, and ML predictor","MOTEB1989",false,"open","2026-02-06T08:00:14Z","REVIEW"
45,"Add advanced Git commands knowledge guide","MOTEB1989",false,"open","2026-02-06T07:44:04Z","REVIEW"
44,"Setup: Install dependencies and verify platform","Copilot",true,"open","2026-02-06T07:43:40Z","CLOSE"
43,"تحسينات الأداء: Caching + Async I/O + Connection Pooling","Copilot",true,"open","2026-02-06T07:36:29Z","CLOSE"
42,"Clean up .github/agents directory","Copilot",true,"open","2026-02-06T07:34:03Z","CLOSE"
41,"Setup Cloudflare Workers infrastructure for lexchat with AI image processing","Copilot",true,"open","2026-02-06T07:31:08Z","CLOSE"
40,"Platform Verification Complete - Production Ready (Go)","Copilot",true,"open","2026-02-06T07:29:05Z","CLOSE"
39,"Add Agent Guardian workflow and agent schema validation tooling","MOTEB1989",false,"open","2026-02-06T07:25:14Z","REVIEW"
37,"نهائي: إصلاح تعارض gh-pages وتحديث CodeQL v3","Copilot",true,"open","2026-02-06T06:19:06Z","CLOSE"
36,"fix: remove gh-pages branch deployment from publish-reports workflow","Copilot",true,"open","2026-02-06T06:19:00Z","CLOSE"
35,"Fix CI workflow failures - upgrade deprecated actions and handle optional security features","Copilot",true,"open","2026-02-06T05:38:40Z","CLOSE"
34,"Fix bootstrap script P1 issues from PR#17 review","Copilot",true,"open","2026-02-06T05:37:08Z","CLOSE"
33,"ci: add agents CLI runner and hardened workflow automation","Copilot",true,"open","2026-02-06T05:28:39Z","CLOSE"
31,"feat: automate agent report publishing to Markdown and GitHub Pages","MOTEB1989",false,"open","2026-02-06T05:09:10Z","REVIEW"
30,"ci: add hardened agents runner and weekly audit workflows","MOTEB1989",false,"open","2026-02-06T05:04:50Z","REVIEW"
29,"Harden agent runner script and add production GitHub workflows for run + weekly audit","MOTEB1989",false,"open","2026-02-06T05:03:52Z","REVIEW"
27,"Standardize Node version to 22 across all workflows","MOTEB1989",false,"open","2026-02-06T04:46:11Z","REVIEW"
26,"Requested clarification on PR #17 action","Copilot",true,"open","2026-02-06T04:40:02Z","CLOSE"
25,"Merge BSM Agents automation system and infrastructure improvements","Copilot",true,"open","2026-02-06T04:34:08Z","CLOSE"
24,"docs(dns): document Cloudflare nameservers for lexdo.uk","MOTEB1989",false,"open","2026-02-06T04:32:45Z","REVIEW"
23,"docs(dns): document Cloudflare nameservers for lexdo.uk","MOTEB1989",false,"open","2026-02-06T04:32:38Z","REVIEW"
20,"Implement BSM Runner for automated build/test execution","Copilot",true,"open","2026-02-06T04:09:19Z","CLOSE"
17,"Claude/merge all prs h jo ev","MOTEB1989",false,"open","2026-02-06T03:35:31Z","REVIEW"
